name,address,rankingPosition,rating,description,numberOfReviews,priceLevel,priceRange,latitude,longitude
Bistro Chez Pradel,"3 rue du Pasteur Wagner, 75011 Paris France",27,5,,184,$$ - $$$,$12 - $40,48.8559611,2.3690105
Il Etait Un Square,"54 rue Corvisart, 75013 Paris France",6,5,Notre restaurant est spécialisé en burgers et tartares. La particularité de nos burgers : la crème de fromage. Nos burgers et tartares sont réalisés avec une viande bovine (Aubrac rustique) issue d'élevages traditionnels français. Nos buns boulangers sont bio. 21h30 (derniere reservation),4216,$$ - $$$,,48.8310469,2.3480114
Assanabel Paris,"6 rue Pierre Chausson, 75010 Paris France",8,5,"Assanabel Paris, les restaurants où notre spécialité est la délicieuse cuisine libanaise créée avec ingéniosité et passion inspirée des plus belles saveurs du Liban. Depuis 1988, nous prenons soin d’innover en fonction de vos goûts tout en préservant tradition et qualité. Venez donc découvrir la cuisine du pays du cèdre chez le meilleur restaurant libanais à Paris !",995,$$ - $$$,$30 - $60,48.8705267,2.3604154
Boutary,"25 rue Mazarine, 75006 Paris France",13,5,"Boutary is a chic and trendy ""boutique bistro"" with traditional French roots but a modern and affordable approach to gastronomic cuisine. High-end festive delicacies prepared by an expert chef and a short but exceptional selection of wines, champagne and vodkas are offered at reasonable prices. Caviar is one of the house's specialities: although not compulsory, we suggest you try a sampling or a small caviar dish to make your experience at Boutary truly unique.",1665,$$$$,$50 - $120,48.8548708,2.3379816
Au P'tit Curieux,"27 rue de Sambre Et Meuse, 75010 Paris France",29,5,"We offer simple, yet sophisticated and elegant fare, created from the freshest products, to delight the eyes as well as the discriminating palate. Please note that our restaurant is not suitable for children under 8 years old.",779,$$ - $$$,$40 - $70,48.8746829,2.3727046
New Jawad Longchamp,"30 rue de Longchamp, 75116 Paris France",33,5,,3489,$$ - $$$,,48.865057,2.2900826
Da Giuseppe,"76 rue du Faubourg Poissonniere, 75010 Paris France",3,5,"Fresh and authentic Italian products. Long-lasting artisanal pizza dough made in our local using a balanced mixture of Italian flours, homemade natural sourdough, Himalayan pink salt, ensuring lightness, aromas and digestibility. Fruits and vegetables from the market. DOP “Denominazione di Origine Protetta” cheeses and cured meats cut to order preserving taste and freshness.",811,$,$5 - $13,48.8763821,2.3485977
Pizzamore Paris,"121 Avenue Du Maine, 75014 Paris France",25,5,"Bonjour! À la recherche d'une authentique expérience italienne au cœur de Paris? Ne cherchez plus, rendez-vous chez Pizzamore, situé dans le charmant quartier de Montparnasse : 14e arrondissement. Notre pizzeria vous offre une expérience gastronomique 100% italienne avec des pâtes fraîches, des pizzas gourmet et des desserts traditionnels. Que vous souhaitiez dîner sur place, vous faire livrer ou emporter, notre emplacement privilégié près de la station de Montparnasse facilite la dégustation des saveurs italiennes tout en séjournant à Paris. Nous avons hâte de vous accueillir.",755,$$ - $$$,$17 - $78,48.8355113,2.3240275
Chez Nicos,"44 rue Mouffetard, 75005 Paris France",1,4.5,"Chez Nicos est une crêperie, avec crêpes sucrées dessert,galette sarrasin pour salé et Paninis à emporter. Option VEGAN friendly",826,$,$4 - $10,48.8435778,2.3494137
Chefs a Table,"15 rue Trousseau, 75011 Paris France",36,5,"Restaurant semi-gastronomique où il fait bon s’arrêter pour déguster une cuisine variée, originale et bien maîtrisée. Les produits frais sont à l’honneur dans notre établissement. L'équipe Chefs à Table vous attends pour partager un agréable moment.",181,$$ - $$$,$25 - $65,48.8519039,2.3788058
Pizza Du Chef,"11 rue Georges Marie, 92130 Issy-les-Moulineaux France",1,4.5,,713,$,,48.8281431,2.2837459
Miura,"15, rue de l'Arc de Triomphe, 75017 Paris France",24,5,,160,$$$$,$59 - $85,48.8770819,2.2935069
Cavale,"40 Rue des Petites Ecuries, 75010 Paris France",11,5,,182,$$ - $$$,,48.8738996,2.3502738
Mache,"61 rue de Chabrol, 75010 Paris France",53,5,"Mâche, restaurant créé par Vincent Geraud comme un éternel mouvement basé sur la convivialité et la prise en compte de notre planète ; un lieu vivant où la cuisine du chef Michaël Gamet s'inspire des saisons et de ses nombreux voyages... Une créativité centrée sur l'accord, l'assaisonnement et les condiments, vision partagée par une équipe jeune et passionnée. Des goûts francs et osés, parfois surprenants, parfois réconfortants, mais toujours superbement accompagnés par une sélection de vins nature par Mathias Fouré, responsable en salle, amoureux du métier et des bonnes quilles",116,$$$$,$60 - $100,48.8770974,2.3510171
Gosier,"27 rue Rodier, 75009 Paris France",48,5,"Welcome to Gosier! A friendly restaurant proposing a delicate seasonal cooking. Enjoy the surprise of our audacious pairings of our small plates to share, allowing you to vary your gustatory pleasures. No limit for treats, the menu is renewed every two weeks, for always more delights! The wine menu is as attractive. You will find untypical wines, or more classical ones, organic, bio-dynamic, and also natural wines, all coming from French regions, and carefully selected. Come and discover our coups de coeur of the moment!",217,$$ - $$$,,48.8791915,2.3431041
Chez Arnaud,"16 rue Eugene Jumin, 75019 Paris France",45,4.5,,1633,$,$18 - $25,48.8873296,2.3925129
Azur Cafe,"63 rue de Ponthieu, 75008 Paris France",67,5,"Café restaurant en plein coeur du 8ème arrondissement, à deux pas des champs Elysée proposant des brunch healthy toute la journée, ainsi que des plats saint, colorés et savoureux.",242,$$ - $$$,,48.8722649,2.304458
L'Atelier Ramey,"23 rue Ramey, 75018 Paris France",40,4.5,,696,$$ - $$$,$18 - $42,48.8882828,2.3467378
Il Grano,"212 B boulevard Pereire, 75017 Paris France",50,4.5,"Family-friendly pizzeria-trattoria with delivery and take-out services open 7 days a week available at www.restaurantilgrano.com. Specialties of fresh artisanal pasta and Roman pizzas (pinsa romana which is the ancestor of Neapolitan pizza). 100% home cooking including bread and desserts. The restaurant offers a wide view of the open kitchen, possibility of eating on the terrace.",1718,$$ - $$$,$15 - $35,48.8877483,2.3092214
Poni,"24 rue Saint Lazare, 75009 Paris France",44,5,"Dans notre établissement, vous pouvez déguster de délicieux repas sans avoir à attendre longtemps votre repas. Nous nous réjouissons de votre visite. Nos clients apprécient notre bistrot pour la fraîcheur et la qualité de ses plats. Testez par vous-même et laissez-vous convaincre. Notre offre vous inspirera. Vous pouvez vous installer au soleil dans notre sublime espace et profiter de l’été avec vos amis. Notre bistrot climatisé vous accueille pour passer un moment agréable peu importe la température extérieure. Un excellent bistrot pour déjeuner Vous serez ravis par nos recettes françaises et variées préparées par nos cuisiniers à votre attention. Notre excellente cuisine s’accompagne d’une vaste gamme de plats et de boissons délicieuses. Savourez les excellents plats du terroir, les plats régionaux variés ou les excellentes salades, créés avec passion par nos chefs de cuisine. Notre tiramisu et notre confiture délicate vous séduiront pour le goûter. Passez nous voir pour un petit-d",563,$$ - $$$,$12 - $45,48.8767922,2.3369415
JJ Beaumarchais,"92 boulevard Beaumarchais, 75011 Paris France",62,5,,288,$$ - $$$,$18 - $50,48.8598784,2.3677677
Bus Toque,"67 Av. des Champs-Elysees, 75008 Paris France",46,5,,900,$$$$,$65 - $105,48.8705852,2.3039742
Alliance,"5 rue de Poissy, 75005 Paris France",34,5,,546,$$$$,$75 - $245,48.8499322,2.3532734
Creperie du Landy,"3 rue du Landy, 92110 Clichy France",1,5,,234,$,$5 - $11,48.9057267,2.3069515
Verse Toujours,"3 Avenue Des Gobelins, 75005 Paris France",31,5,,316,$$ - $$$,$12 - $26,48.8384187,2.3510318
Orgueil,"6 rue Popincourt, 75011 Paris France",42,5,,653,$$$$,$20 - $50,48.8571065,2.3777048
Chez Cleopatre (Tacoos -Burger),"46 rue Condorcet, 75009 Paris France",58,5,,651,$,$6 - $25,48.8802674,2.3435463
Petit Boutary,"16 rue Jacquemont, 75017 Paris France",17,5,"Dans une rue calme des Batignolles, dans une atmosphère de bistro moderne, notre Chef Kazu vous accueille à sa ""table du Chef"". Laissez vous surprendre par ses menus du jour, renouvelés à chaque saison...",574,$$$$,$49 - $64,48.8878286,2.3224481
Terra Mia,"118 boulevard du Montparnasse, 75014 Paris France",37,5,Gastronomy Of The Naples Cuisine,627,$$ - $$$,$10 - $30,48.8414918,2.3305395
Milord,"12 rue Tolbiac, 75013 Paris France",47,5,,143,$$ - $$$,,48.829797,2.3750717
Le jardin du Kashmir,"60 rue Legendre, 75017 Paris France",85,4.5,,630,$$ - $$$,,48.8853359,2.3163735
Bistrot Kinzo,"13 rue Rougemont, 75009 Paris France",32,5,"French and Japanese fusion. Fresh products and a menu that evolves with the seasons. The owner Edward Uchiyama was the Head Chef at the Intercontinental hotel Marceau, worked for Joel Robuchon and at the Four Seasons George V hotel. Come and experience a Journey to Japan and France with our 6 course Tasting menu and wine paring.",245,$$$$,$18 - $49,48.8720126,2.3459034
Ristorante Garum,"64 rue Sedaine, 75011 Paris France",56,5,,160,$$ - $$$,,48.8580491,2.3773676
Le 27 Gourmand,"27 boulevard des Batignolles, 75008 Paris France",87,4.5,"Situé au coeur du quartier des Batignolles, à deux pas de la gare Saint-Lazare, de la place de Clichy ou encore du théâtre Hébertot et de l'Européen, depuis maintenant 23 ans, Valérie et Nicolas vous accueillent avec grand plaisir pour vous proposer une table d'exception. Nous mettons au centre de notre priorité votre satisfaction en vous proposant un cadre chic et moderne, ainsi qu'un service personnalisé. Vous dégusterez de la cuisine du Sud Ouest préparée avec des produits français d'excellente qualité tels que Magrets et Confit de Canard, Foie Gras de Canard, desserts Maison. Nous organisons tous vos évènements midi et soir.",323,$$ - $$$,$35 - $48,48.8826233,2.3239751
Frog & Underground,"176 rue Montmartre, 75002 Paris France",49,5,"Frog & Underground is based in the famous ""grands boulevards"" district. The pub, once the french beer factory, has kept its original feel with its exposed brick walls and factory style decoration... Try out our genuinely good burger and our great graft beer.",1156,$$ - $$$,$12 - $19,48.8710684,2.3430364
Les Apotres de Pigalle,"2 rue Germain Pilon, 75018 Paris France",26,5,"Eat, Drink, Share... That's Les Apôtres de Pigalle. Short Menu of dishes to share, made out of daily-cooked ingredients Selection of quality wines Vibrant atmosphere Roland, Thibault & Gautier are looking forward to receive you ;)",2676,$$ - $$$,$5 - $25,48.8830634,2.336385
Ya Bayte,"1 rue des Grands Degres, 75005 Paris France",70,5,"Street food libanais, plats frais préparés minute, pain maison, cuissons au charbon de bois, falafel, chawarma, burger",238,$,$7 - $20,48.85122,2.3500241
Signature Montmartre,"12 Rue des Trois Freres, 75018 Paris France",69,5,"French Asian fusion restaurant in Paris Montmartre, just next to the Sacre Coeur. Signature Montmartre Restaurant provides Asian traditional dishes and spices adapted with French gastronomy. Signature Restaurant's chefs cooks quality and healthy products to give you the best of both worlds!",501,$$ - $$$,$38 - $78,48.8844162,2.3412851
Le Faham by Kelly Rangama,"108 rue Cardinet, 75017 Paris France",77,5,"Cuisine traditionnelle gastronomique aux influences ultra-marine, inspirée par la Réunion et les Dom-Tom, la Cheffe Kelly Rangama s'imprègne des plats traditionnels de son enfance à la Réunion et de ses voyages sur les 9 départements d'outre-mer durant son émission culinaire ""voyages et délices"".",152,$$$$,$50 - $65,48.8856271,2.3117203
Les Epiciers,"33 rue de Montmorency, 75003 Paris France",81,5,"A typically french wine bar, ""LES EPICIERS"" is the place for tasting cheese and ham platters served with tasty wines selected by the owners themselves. The atmosphère is very cosy and you will rapidly feel like at home As the shop also works as a french deli it is possible to buy and take away typical french products.",295,$$ - $$$,$6 - $25,48.8633289,2.354049
Zincou Vins & Tapas,"50 rue Blanche, 75009 Paris France",80,5,"Zincou is both a wine and tapas restaurant. The chef offers a gourmet French cuisine to share as tapas. We select fresh and local products as much as possible in order to put forward the ""French terroir"". About the cellar, there is a selection of more than 40 wines served by the glass. We propose different types of wine such as organic, biodynamic, or nature ones.",110,$$ - $$$,$10 - $40,48.8801319,2.331529
Bistrot Beyrouth,"103 Rue de Charonne, 75011 Paris France",60,4.5,,270,$$ - $$$,$5 - $44,48.8545826,2.384556
Les Barioles de Maud Paris 9,"12 rue Buffault, 75009 Paris France",59,5,"Le seul endroit à Paris pour découvrir et déguster des bariolés !! La cuisine de Maud est 100% maison avec des produits frais et de saison, les bariolés sont des délicieux petits plats ou desserts colorés au naturel pour donner envie d'en croquer :) Vous pourrez déguster des bariolés lors d'un brunch en semaine ou un brunch le week-end, d'un déjeuner (bowl déjeuner), d'un dîner ou même d'un after-work ! En ce moment, le bariolé ""Pomodoro"" vous attend : tomates rôties, mozzarella, pesto de basilic et croûtons maison, dans sa jolie coque rouge croustillante... L'équipe de Maud vous attend tous les jours avec le sourire :)",1203,$$ - $$$,$10 - $30,48.8755706,2.3419536
Passione,"123 avenue Parmentier, 75011 Paris France",57,5,,176,$$$$,,48.8687821,2.3717738
Pizza Presto,"avenue Paul Vaillant Couturier, 93330 Neuilly-sur-Marne France",1,5,,561,$$ - $$$,$10 - $30,48.865716,2.5640689
Domenico's,"8 rue Saint Lazare, 75009 Paris France",39,5,"Niché en plein cœur du 9eme arrondissement de Paris, à mi-chemin entre Pigalle et la Gare Saint Lazare, Domenico's propose des recettes traditionnelles siciliennes et du sud de l'Italie remises au goût du jour.",955,$$ - $$$,$20 - $29,48.8769483,2.3382922
Akira Back Paris,"33 avenue George V, 75008 Paris France",83,5,,185,$$$$,,48.8690963,2.3008106
Madito,"12 rue de Candie, 75011 Paris France",74,5,,351,$$ - $$$,,48.8512719,2.3799601
Bar Italia Brasserie,"22 rue Moncey, 75009 Paris France",99,4.5,,1270,$$ - $$$,$16 - $50,48.8799549,2.3292922
Bao & ME,"89 rue du Faubourg Poissonniere, 75009 Paris France",38,5,,867,$,$11 - $25,48.8767672,2.3486461
AlKaram,"15 rue Ferdinand Fabre, 75015 Paris France",61,5,,869,$$ - $$$,$17 - $32,48.8384538,2.297076
La Barriere de Clichy,"1 rue de Paris, 92110 Clichy France",2,5,,468,$$$$,$25 - $60,48.89637,2.308251
Le Bistrot d'Yves,"33 rue Cardinet, 75017 Paris France",97,5,,718,$$ - $$$,$20 - $40,48.8821046,2.3039341
Publisher - Restaurant,"33 Rue de Constantinople, 75008 Paris France",101,4.5,"Gastro Pub, Draught beers. At Publisher, you can enjoy our own beer, directly brewed in Paris, discover our huge shelf of spirits from all around the world, and eat very fine food. Come and discover our varied menu and a choice of delicious daily dishes! Our staff will welcome you as if you were at home and suggest you atypical dishes from the Publisher's kitchen. Let's enjoy fresh cocktails, french wines, and abnormal products",324,$$ - $$$,$24 - $250,48.8805485,2.3184278
Le Vent d'Armor,"25 quai de la Tournelle, 75005 Paris France",95,5,,437,$$ - $$$,$30 - $70,48.8501155,2.3541476
Le Maxan Restaurant,"3 rue Quentin Bauchart, 75008 Paris France",75,4.5,,326,$$$$,$38 - $60,48.8689554,2.2994002
Papa Mia,"50 rue Louis Rouquier, 92300 Levallois-Perret France",1,5,,280,$$ - $$$,$12 - $25,48.890649,2.2866251
Cote Sushi Enghien-les-Bains,"14 rue de Mora, 95880 Enghien Les Bains France",1,5,"Explorez une fusion exceptionnelle de saveurs japonaises et péruviennes dans notre restaurant Nikkei, Côté Sushi Enghien-les-Bains . Plongez dans une expérience culinaire élégante, alliant sushis frais et créations audacieuses comme le ceviche Nikkei.
Que ce soit pour un déjeuner rapide, une célébration spéciale ou une expérience à emporter, notre équipe dévouée vous promet des moments uniques. Profitez de nos options variées : venez manger sur place, commandez à emporter ou faites-vous livrer via notre site.",109,$$ - $$$,,48.9701166,2.3077169
Chez Pitou,"28 rue Tholoze, 75018 Paris France",109,5,"home-made cooking, worked with care, fresh products selected for their seasonality and a selection of wines at reasonable price in agreement with the dishes. A warm and friendly place, where to please yourself is the most important. Cooked dishes with passion and a friendly atmosphere to awaken your taste buds. See you soon in Montmartre !",270,$$ - $$$,$10 - $25,48.8870725,2.3360524
Perception,"53 rue Blanche, 75009 Paris France",52,5,,184,$$$$,,48.8811772,2.3314693
La MiN,"45 Rue de Montreuil, 75011 Paris France",117,5,"Place to eat, drink and speak",671,$$ - $$$,$20 - $36,48.8505164,2.388329
Jimmy 2 Fois,"15 rue Letort, 75018 Paris France",84,5,,490,$$ - $$$,$9 - $17,48.8943511,2.3430521
MoSuke,"11 rue Raymond Losserand, 75014 Paris France",110,5,,349,$$$$,,48.8362707,2.3224104
La Maison du Boulevard,"40 Boulevard de l'Hopital, 75005 Paris France",54,5,,90,$$ - $$$,$15 - $25,48.840178,2.3616384
Le Confidentiel,"6 rue Robert Estienne, 75008 Paris France",68,4.5,"Upscale French restaurant HALAL kind located in the prestigious golden triangle of Paris, fields axis Elysées, Avenue Montaigne, François 1st Street, The Confidential welcomes you in a cozy lounge setting for a romantic meal, a group, or for a meal of business leader Rudy Suzan will satisfy you thanks to its past experience in the hotel Costes, Durand Smith, the Villa ....",1811,$$$$,$20 - $40,48.8686746,2.3050081
La Veraison,"64 rue de la Croix Nivert, 75015 Paris France",114,4.5,,726,$$ - $$$,$45 - $60,48.8449765,2.2972289
Marche Ou Crepe,"18 rue des Haies, 75020 Paris France",76,5,,370,$,$9 - $15,48.8526199,2.4004455
Granite par Tom Meyer,"6 rue Bailleul, 75001 Paris France",82,5,"Granite est le nouvel établissement du Groupe Eclore par le chef Tom Meyer, associé à Stéphane Manigold. Lieu vivant faisant la part belle aux matériaux naturels et organiques.",155,$$$$,,48.8609753,2.3419779
Il Tronchetto,"22 rue de Lourmel, 75015 Paris France",63,5,,735,$$ - $$$,,48.8494498,2.2911526
AMORE E FANTASIA,"134 rue Louis Rouquier, 92300 Levallois-Perret France",2,5,,282,$$ - $$$,$15 - $35,48.8937042,2.2944411
Origines,"6 rue de Ponthieu, 75008 Paris France",94,5,"After 5 years and one Michelin Star at Les Climats, Julien Boscus opened his own restaurant. Based on sourcing of the best french products his cuisine is a real experience of the authentic french cuisine. Wine list with over 500 references awarded with 2 Glasses « Best of Award of Excellence » by Wine Spectator",300,$$$$,$100 - $200,48.8702009,2.311241
Selva,"22 Rue Du Sommerard, 75005 Paris France",106,5,,378,$$ - $$$,$20 - $50,48.8503232,2.3447986
Restaurant L'INITIAL,"9 rue de Bievre, 75005 Paris France",88,5,Opening Times Lunch | Wednesday to Saturday 12.00pm to 1.30pm Dinner | Tuesday to Saturday 7.00pm to 9.00pm,520,$$$$,$48 - $98,48.8506901,2.3504188
Maison Cluny,"3 rue de Cluny, 75005 Paris France",107,5,"Nouvelle adresse bistrot chic dans le 5ème. Carte de produits frais, de saison et renouvelée régulièrement. Après 10 ans au Restaurant Le Cornichon (meilleur bistrot parisien 2013), Franck Bellanger et Matthieu Nadjar reviennent avec une nouvelle adresse encore plus conviviale dans un cadre exceptionnel entre la Sorbonne et le musée de Cluny.",248,$$$$,$35 - $70,48.8505807,2.3448259
Restaurant Mumi,"14 rue Sauval, 75001 Paris France",90,5,,423,$$$$,$33 - $200,48.8620282,2.3425847
May Bay,"33 rue des Laitieres, 94300 Vincennes France",1,5,"Situé à Vincennes, au pied du métro Saint Mandé (L1), Mây Bay - Restaurant vietnamien végan végétarien- vous propose de savoureux plats repris ou réinventés dans la tradition culinaire Asiatique. Le restaurant inscrit quotidiennement à sa carte quatre entrées, plats et fabriqués sur place à base d'ingrédients frais et durement sélectionnés. Nous ajoutons à chaque service une entrée, un plat et un dessert du jour associant ainsi découverte à l’offre de fond soigneusement élaborée Nos plats sont également disponibles en livraison !",253,$$ - $$$,$4 - $30,48.8474374,2.4228364
Joyti Restaurant,"148, Rue de Vaugirard, 75015 Paris France",105,5,"Traditional indian home made kitchen since 1994. One of Best indian restaurant in Paris specialy for tandoori, cheese nans, butter chicken and all traditional indian recipes. Our dream is to serve best traditional indian food and give the taste of indian culture and love to parisians, Apart from that Our cook is experienced for traditional indian dishes. so we can ensure you the best taste of indian rasoi because it is our mission. We are very special for Tandoori. We are established & serving Indian cuisine in heart of Paris from last 25 years. Our Joyti Restaurant is very close to major tourist attractions like Montparnasse Tower, Eiffel Tower, Louvre Museum. The restaurant is right on Main Street where parking for tourist buses is easy. Our beautiful restaurant is having 65+ seats to provide quick table service (not the buffet) to the customers so they can continue their meals without waiting.",586,$$ - $$$,$20 - $40,48.8437699,2.3150925
le reciproque,"14 rue Ferdinand Flocon, 75018 Paris France",111,5,,373,$$ - $$$,$21 - $47,48.8916389,2.3461087
Pianovins,"46 rue Trousseau, 75011 Paris France",92,5,,214,$$$$,$30 - $64,48.8523936,2.3791684
XV Burger,"179 rue de Vaugirard, 75015 Paris France",100,5,"Let your palate savor real fresh products, this is what this establishment offers you, a guarantee of seriousness and quality that you certainly cannot deny, to test! THE PRESENTATION - Truly highly sought after and elaborate, the presentation of the plates of this restaurant will whet your appetite in seconds, get ready to savor works of art. WELCOME - Warm and very smiling, the welcome offered by the XV Burger restaurant will instantly put you at ease, a real pleasure to share with family or friends, not to be missed!",188,$,,48.8430748,2.3133022
Restaurant Biscotte,"22 rue Desnouettes, 75015 Paris France",125,5,"Attention la fourchette prends des commissions sur les réservations, n'hésitez pas à passer en direct avec vos restaurants.",245,$$ - $$$,$45 - $65,48.8361336,2.2911849
La Crete,"85 Rue Mouffetard, 75005 Paris France",119,4.5,,1553,$$ - $$$,,48.8418239,2.3497538
Cook' n Saj,"5 rue Bernard Palissy, 75006 Paris France",115,5,Mediterranean fusion restaurant serving soulful food to unique people. Come and experience our way of hosting.,747,$,$5 - $25,48.8531509,2.3319721
India StreEAT,"105 Rue Monge, 75005 Paris France",118,5,,266,$$ - $$$,$14 - $20,48.8404089,2.3518269
Can Alegria Paris,"73 rue Jean Baptiste Pigalle, 75009 Paris France",66,5,"Ancien cabaret où chantait Piaf à ses débuts, le restaurant Can Alegria poursuit l’histoire. Restaurant & bar, l’adresse chante la cuisine méditerranéenne et exotique, sert de bons vins et propose des cocktails originaux. Toujours dans la joie de vivre. Niché au cœur de Pigalle, ce lieu de partage a été pensé par la décoratrice Élodie Ricord. Le cadre chaleureux, combinant matières naturelles et couleur bleue rappelle la méditerranée et permet un voyage inédit à Paris. Le chef Marc-Antoine Colonna propose des plats qui ressemblent au lieu : une cuisine créative, avec une influence espagnole, qui change au rythme des saisons.",1290,$$ - $$$,$20 - $35,48.8818216,2.3368647
La Scene Par Stephanie Le Quellec,"32 avenue Matignon, 75008 Paris France",108,4.5,,292,$$$$,,48.8720354,2.314504
Tadam Paris,"14 rue du Jura, 75013 Paris France",143,5,"
          ",226,$$ - $$$,$25 - $50,48.8370478,2.3560076
Wine Therapy Bar a Vins,"35, Rue de Montholon, 75009 Paris France",91,5,,361,$$ - $$$,$12 - $20,48.8765193,2.3449372
Contraste,"18 rue d Anjou, 75008 Paris France",103,5,"Le restaurant Contraste se situe à Paris 8e, idéalement implanté entre la Concorde et la Madeleine. Les Chefs Kévin de Porre et Erwan Ledru sont à la tête de ce restaurant étoilé Maîtrise des gestes, précision des assaisonnements et des cuissons : une alchimie des saveurs émane des créations de ces jeunes talents. Ils dressent des assiettes lisibles dans le respect des saisons et des territoires et ont réussi à poser une certaine énergie au déjeuner et un frisson d’intimité au dîner. Contraste est une table ouverte où salle, cave à vins et cuisine se mêlent dans une moderne singularité.",245,$$$$,$55 - $150,48.8704774,2.3212791
Sacree fleur,"50 Rue de Clignancourt, 75018 Paris France",151,4.5,"Sacree fleur (ex Marguerite) is a traditional french cuisine restaurant, located just closed to Sacre Coeur in Montmartre. Speciality : the beef
Everything is homemade. We use fresh products",3729,$$ - $$$,$20 - $40,48.8875954,2.3479048
L'Arcane,"52 rue Lamarck, 75018 Paris France",137,5,,392,$$$$,,48.8893303,2.3420067
Johana's FISH & CHIPS,"30 rue Saint Sauveur, 75002 Paris France",135,4.5,,362,$,,48.8662801,2.3475925
Le Perraudin,"157 rue Saint Jacques, 75005 Paris France",89,5,"The Perraudin restaurant is a typical french bistrot established since 1872 in the latin district, minutes from Sorbonne University and Luxembourg gardens. France, the owner, and her team welcome you in a friendly atmosphere and propose you a traditional french cuisine, homemade with fresh products. Fixed priced menus starting 18,50€ at lunch time and 22€ for dinner. A la carte also available. Fairly priced wine list straight from producers.",341,$$ - $$$,$18 - $32,48.8463488,2.3432658
Le 217 Brasserie Restaurant,"217 Avenue Daumesnil, 75012 Paris France",113,4.5,,576,$,$12 - $32,48.8385129,2.3990952
Desvouges,"6 rue des Fosses Saint Marcel, 75005 Paris France",126,5,,361,$$ - $$$,$20 - $32,48.8391336,2.3560625
Midi 12,"12 rue la Fayette, 75009 Paris France",131,4.5,,1125,$,$8 - $25,48.8733626,2.3346942
Marclee,"10 Rue Saulnier, 75009 Paris France",153,4.5,,569,$$ - $$$,$69 ,48.8749507,2.3444377
Restaurant H,"13 rue Jean Beausire, 75004 Paris France",121,5,,538,$$$$,$35 - $70,48.8544888,2.3679571
